word,occurrence,day
alack,2.43E-07,
alamo,1.44E-08,
aland,1.16E-07,
alane,6.54E-08,
alang,4.07E-08,
alans,3.77E-09,
alant,3.61E-09,
alapa,2.94E-09,
alaps,1.83E-10,
alarm,1.03E-05,1521
alary,2.84E-08,
alate,8.83E-08,
alays,4.77E-09,
albas,1.26E-08,
albee,3.20E-08,
album,5.73E-06,347
alcid,6.60E-10,
alcos,5.03E-10,
aldea,6.14E-09,
alder,5.11E-07,
aldol,4.28E-08,
aleck,8.67E-09,
alecs,9.55E-10,
alefs,8.64E-09,
aleft,8.57E-09,
aleph,3.30E-08,
alert,8.94E-06,1563
alews,3.01E-10,
aleye,3.55E-10,
alfas,5.34E-09,
algae,5.23E-06,1047
algal,3.81E-07,
algas,2.87E-09,
algid,8.63E-09,
algin,7.43E-09,
algor,2.92E-09,
algum,1.90E-08,
alias,1.20E-05,
alibi,1.03E-06,2215
alien,1.24E-05,429
alifs,5.62E-10,
align,2.58E-06,1139
alike,1.17E-05,478
aline,2.27E-07,
alist,1.93E-08,
alive,2.40E-05,892
aliya,5.58E-09,
alkie,8.52E-09,
alkos,9.01E-12,
alkyd,5.72E-08,
alkyl,1.15E-06,
allay,7.39E-07,2118
allee,1.44E-08,
allel,2.43E-08,
alley,3.25E-06,909
allis,4.45E-07,
allod,6.89E-09,
allot,4.76E-07,2098
allow,8.62E-05,276
alloy,1.01E-05,2040
allyl,1.78E-07,
almah,2.53E-09,
almas,1.72E-08,
almeh,6.02E-10,
almes,1.90E-06,
almud,3.62E-09,
almug,1.82E-08,
alods,4.69E-10,
aloed,2.05E-10,
aloes,5.83E-07,
aloft,1.35E-06,231
aloha,1.23E-08,
aloin,1.44E-08,
alone,9.38E-05,112
along,0.000178905,1261
aloof,1.42E-06,1805
aloos,2.32E-09,
aloud,5.81E-06,525
alowe,2.29E-07,
alpha,8.34E-06,470
altar,6.81E-06,137
alter,1.58E-05,1508
altho,4.23E-06,
altos,8.71E-08,
alula,1.14E-08,
alums,4.29E-08,
alure,4.04E-08,
alvar,1.95E-09,
alway,4.43E-06,
amahs,3.27E-09,
amain,6.46E-07,
amass,3.79E-07,1069
amate,1.24E-07,
amaut,8.53E-10,
amaze,3.76E-07,881
amban,2.98E-09,
amber,2.01E-06,2033
ambit,2.33E-07,
amble,1.34E-07,1025
ambos,2.56E-08,
ambry,5.62E-09,
ameba,2.75E-08,
ameer,1.24E-07,
amend,1.83E-05,1162
amene,1.06E-08,
amens,2.74E-08,
ament,2.49E-07,
amias,1.11E-09,
amice,7.58E-08,
amici,2.21E-07,
amide,5.98E-07,
amido,7.83E-08,
amids,7.01E-08,
amies,1.40E-07,
amiga,7.71E-09,
amigo,3.93E-08,
amine,1.35E-06,
amino,3.32E-06,
amins,6.80E-09,
amirs,4.08E-08,
amiss,8.59E-07,1862
amity,3.60E-07,1388
amlas,1.02E-09,
amman,3.64E-09,
ammon,5.29E-08,
ammos,8.52E-09,
amnia,4.18E-09,
amnic,1.37E-10,
amnio,7.36E-09,
amoks,5.48E-10,
amole,3.21E-09,
among,0.000228838,1043
amort,1.14E-07,
amour,6.87E-07,
amove,4.87E-08,
amowt,1.59E-10,
amped,1.34E-08,
ample,7.51E-06,308
amply,1.81E-06,795
ampul,1.03E-08,
amrit,2.36E-09,
amuck,2.97E-08,
amuse,1.06E-06,1051
amyls,3.38E-10,
anana,9.06E-09,
anata,6.90E-09,
ancho,1.82E-08,
ancle,2.52E-07,
ancon,5.97E-09,
andro,1.44E-07,
anear,2.02E-08,
anele,2.91E-09,
anent,1.79E-06,
angas,4.32E-09,
angel,6.87E-06,1844
anger,2.08E-05,2190
angle,3.62E-05,649
anglo,3.50E-08,
angry,1.85E-05,410
angst,4.61E-07,1125
anigh,1.22E-08,
anile,1.83E-08,
anils,3.60E-08,
anima,9.21E-07,
anime,2.00E-07,911
animi,5.76E-07,
anion,1.36E-06,
anise,1.53E-07,
anker,2.63E-07,
ankhs,4.71E-10,
ankle,4.21E-06,1773
ankus,1.53E-09,
anlas,2.81E-08,
annal,1.06E-07,
annas,3.22E-07,
annat,1.31E-08,
annex,2.01E-06,1647
annoy,7.50E-07,1317
annul,5.49E-07,677
anoas,7.44E-10,
anode,2.93E-06,1899
anole,1.18E-08,
anomy,1.43E-08,
ansae,5.84E-09,
antae,1.99E-08,
antar,3.48E-09,
antas,4.07E-09,
anted,1.63E-07,
antes,4.05E-07,
antic,1.57E-07,2142
antis,3.88E-08,
antra,3.52E-08,
antre,7.50E-09,
antsy,1.35E-08,
anura,1.96E-09,
anvil,7.59E-07,2171
anyon,1.33E-08,
aorta,2.72E-06,2308
apace,2.43E-06,
apage,1.04E-08,
apaid,4.97E-08,
apart,3.39E-05,1691
apayd,5.74E-08,
apays,2.40E-10,
apeak,2.08E-08,
apeek,6.87E-10,
apers,1.00E-07,
apert,4.22E-08,
apery,5.32E-09,
apgar,9.21E-10,
aphid,9.85E-07,413
aphis,1.88E-07,
apian,2.26E-08,
aping,1.12E-07,704
apiol,4.79E-09,
apish,1.97E-07,
apism,1.04E-10,
apnea,1.07E-06,1917
apode,4.32E-10,
apods,2.06E-10,
apoop,3.92E-11,
aport,1.01E-08,
appal,1.36E-07,
appay,2.18E-09,
appel,1.36E-07,
apple,8.15E-06,615
apply,8.43E-05,1193
appro,6.81E-07,
appui,5.08E-08,
appuy,6.29E-09,
apres,3.11E-07,
apron,2.27E-06,371
apses,5.33E-08,
apsis,6.17E-08,
apsos,1.65E-10,
apted,4.43E-08,
apter,3.58E-07,
aptly,1.82E-06,522
aquae,8.72E-08,
aquas,1.14E-07,
araba,7.21E-09,
araks,8.80E-11,
arame,1.51E-09,
arars,2.41E-10,
arbas,1.15E-09,
arbor,4.23E-07,830
arced,2.26E-08,
archi,2.22E-07,
arcos,7.96E-09,
arcus,7.91E-08,
ardeb,3.96E-09,
ardor,5.10E-07,637
ardri,3.01E-10,
aread,1.10E-07,
areae,1.14E-08,
areal,1.70E-06,
arear,5.40E-09,
areas,5.21E-05,
areca,1.51E-07,
aredd,3.98E-09,
arede,3.06E-08,
arefy,8.88E-10,
areic,2.16E-10,
arena,6.99E-06,1015
arene,3.50E-08,
arepa,4.58E-09,
arere,3.52E-08,
arete,5.60E-08,
arets,5.94E-09,
arett,1.21E-09,
argal,9.00E-09,
argan,5.28E-09,
argil,5.61E-08,
argle,2.16E-09,
argol,1.91E-08,
argon,1.57E-06,
argot,3.30E-08,
argue,2.68E-05,73
argus,3.83E-08,
arhat,7.48E-09,
arias,1.31E-07,
ariel,7.10E-09,
ariki,8.48E-09,
arils,8.11E-09,
ariot,1.59E-08,
arise,2.55E-05,560
arish,8.43E-08,
arked,1.54E-08,
arled,5.01E-10,
arles,4.49E-08,
armed,2.52E-05,
armer,5.49E-08,
armet,8.10E-09,
armil,1.80E-09,
armor,3.69E-06,1727
arnas,1.00E-09,
arnut,4.23E-09,
aroba,2.22E-09,
aroha,2.98E-09,
aroid,8.04E-09,
aroma,1.87E-06,242
arose,1.24E-05,1252
arpas,2.03E-10,
arpen,1.59E-09,
arrah,5.15E-09,
arras,3.45E-07,
array,2.08E-05,1120
arret,1.73E-07,
arris,6.00E-08,
arrow,8.72E-06,1774
arroz,7.12E-09,
arsed,5.66E-08,
arses,9.63E-08,
arsey,7.53E-10,
arsis,3.29E-08,
arson,1.49E-06,659
artal,8.47E-09,
artel,4.21E-08,
artic,1.69E-07,
artis,2.63E-07,
artsy,8.89E-08,2312
aruhe,5.93E-10,
arums,8.93E-09,
arval,1.75E-09,
arvee,5.37E-11,
arvos,4.31E-11,
aryls,1.77E-09,
asana,9.22E-09,
ascon,1.33E-09,
ascot,2.84E-08,1057
ascus,4.55E-08,
asdic,5.31E-09,
ashed,5.19E-08,
ashen,4.10E-07,1104
ashes,8.62E-06,
ashet,1.93E-09,
aside,2.91E-05,192
asked,8.49E-05,
asker,2.78E-08,
askew,3.29E-07,316
askoi,9.07E-10,
askos,2.58E-09,
aspen,3.95E-07,
asper,1.04E-07,
aspic,4.15E-08,
aspie,9.78E-09,
aspis,1.72E-08,
aspro,5.33E-09,
assai,6.93E-08,
assam,3.31E-09,
assay,8.62E-06,869
asses,2.27E-06,
asset,1.86E-05,349
assez,1.22E-07,
assot,1.49E-09,
aster,1.38E-05,
astir,2.70E-07,
astun,3.72E-10,
asura,8.34E-09,
asway,2.65E-09,
aswim,6.70E-10,
asyla,4.43E-09,
ataps,6.91E-10,
ataxy,4.36E-08,
atigi,1.40E-10,
atilt,8.35E-09,
atimy,3.35E-10,
atlas,7.36E-07,
atman,3.41E-08,
atmas,2.10E-10,
atmos,1.23E-07,
atocs,3.22E-11,
atoke,1.99E-10,
atoks,1.55E-11,
atoll,3.97E-07,353
atoms,8.58E-06,
atomy,1.39E-08,
atone,4.78E-07,369
atony,1.06E-07,
atopy,1.53E-08,
atria,1.97E-07,
atrip,9.17E-09,
attap,5.01E-09,
attar,1.16E-07,
attic,2.14E-06,2254
atuas,1.37E-09,
audad,1.57E-10,
audio,9.72E-06,1589
audit,1.59E-05,91
auger,3.25E-07,
aught,3.58E-06,
augur,2.23E-07,406
aulas,5.42E-09,
aulic,3.94E-08,
auloi,9.24E-10,
aulos,6.91E-09,
aumil,8.73E-09,
aunes,1.06E-08,
aunts,5.09E-07,
aunty,8.42E-08,952
aurae,2.58E-08,
aural,2.56E-07,
aurar,1.39E-09,
auras,9.39E-08,
aurei,7.69E-08,
aures,1.66E-07,
auric,2.58E-08,
auris,5.36E-08,
aurum,2.88E-07,
autos,3.12E-07,
auxin,1.23E-07,
avail,4.82E-06,1232
avale,7.45E-08,
avant,5.33E-07,
avast,8.75E-08,
avels,3.79E-09,
avens,2.33E-08,
avers,9.03E-07,
avert,1.56E-06,564
avgas,2.75E-09,
avian,1.70E-06,1970
avine,5.98E-09,
avion,9.21E-09,
avise,1.39E-07,
aviso,1.32E-08,
avize,1.70E-08,
avoid,6.04E-05,1982
avows,3.80E-07,
avyze,0,
await,3.48E-06,2234
awake,7.10E-06,4
award,3.12E-05,675
aware,5.38E-05,1198
awarn,1.12E-10,
awash,4.91E-07,1882
awato,1.14E-10,
awave,4.05E-09,
aways,1.32E-07,
awdls,0,
aweel,5.52E-09,
aweto,3.79E-10,
awful,7.44E-06,377
awing,1.85E-07,
awmry,2.87E-10,
awned,9.65E-08,
awner,1.12E-08,
awoke,2.34E-06,709
awols,7.74E-11,
awork,1.16E-07,
axels,1.75E-09,
axial,8.74E-06,1942
axile,1.99E-08,
axils,2.10E-07,
axing,2.23E-08,
axiom,1.57E-06,1710
axion,8.07E-08,2110
axite,2.21E-10,
axled,1.22E-08,
axles,9.64E-07,
axman,3.97E-09,
axmen,5.61E-09,
axoid,2.58E-09,
axone,8.12E-09,
axons,2.53E-07,
ayahs,6.16E-09,
ayaya,1.59E-10,
ayelp,1.58E-11,
aygre,1.00E-10,
ayins,9.68E-11,
ayont,1.06E-08,
ayres,2.96E-07,
ayrie,1.05E-07,
azans,5.72E-11,
azide,1.93E-07,
azido,5.10E-08,
azine,7.29E-08,
azlon,2.07E-10,
azoic,1.83E-08,
azole,9.47E-09,
azons,3.83E-10,
azote,2.89E-07,
azoth,4.76E-10,
azuki,2.22E-09,
azure,5.45E-07,860
azurn,2.83E-09,
azury,3.53E-10,
azygy,0,
azyme,3.65E-10,
azyms,5.55E-10,
baaed,2.45E-08,
baals,1.42E-09,
babas,2.97E-09,
babel,5.35E-08,
babes,2.17E-06,
babka,9.97E-10,
baboo,9.38E-09,
babul,1.04E-08,
babus,3.11E-09,
bacca,2.26E-08,
bacco,1.19E-07,
baccy,1.19E-08,
bacha,1.30E-08,
bachs,1.20E-09,
backs,5.31E-06,
bacon,2.91E-06,1925
baddy,3.47E-09,
badge,2.19E-06,329
badly,1.25E-05,146
baels,1.24E-09,
baffs,5.88E-09,
baffy,7.97E-09,
bafts,2.36E-08,
bagel,2.39E-07,1707
baggy,5.74E-07,1258
baghs,1.16E-09,
bagie,4.34E-10,
bahts,4.39E-09,
bahus,5.13E-10,
bahut,2.06E-09,
bails,8.72E-08,
bairn,2.18E-07,
baisa,6.13E-10,
baith,1.40E-06,
baits,9.56E-07,
baiza,2.41E-10,
baize,1.37E-07,
bajan,8.76E-10,
bajra,2.96E-08,
bajri,6.51E-09,
bajus,5.12E-10,
baked,2.37E-06,
baken,3.14E-07,
baker,1.08E-06,534
bakes,2.20E-07,
bakra,6.17E-10,
balas,1.49E-08,
balds,3.33E-08,
baldy,2.43E-09,
baled,1.33E-07,
baler,1.23E-07,1876
bales,2.57E-06,
balks,9.11E-08,
balky,1.92E-08,
balls,6.80E-06,
bally,2.79E-08,
balms,5.62E-08,
balmy,3.48E-07,1596
baloo,9.67E-10,
balsa,3.80E-07,
balti,8.04E-10,
balun,7.52E-09,
balus,5.80E-09,
bambi,6.03E-10,
banak,8.90E-10,
banal,8.22E-07,201
banco,2.05E-07,
bancs,1.43E-08,
banda,3.05E-08,
bandh,5.23E-09,
bands,2.05E-05,
bandy,2.82E-07,
baned,1.66E-08,
banes,1.48E-07,
bangs,1.34E-07,
bania,9.71E-09,
banjo,5.41E-07,2109
banks,3.16E-05,
banns,3.27E-07,
bants,1.80E-08,
bantu,3.50E-09,
banty,1.65E-09,
banya,3.40E-09,
bapus,4.32E-11,
barbe,3.28E-08,
barbs,2.15E-07,
barby,2.44E-09,
barca,7.59E-09,
barde,6.88E-08,
bardo,5.07E-09,
bards,1.27E-06,
bardy,2.51E-08,
bared,4.13E-07,
barer,4.25E-08,
bares,1.34E-07,
barfi,1.48E-09,
barfs,4.35E-09,
barge,3.02E-06,849
baric,4.85E-08,
barks,9.16E-07,
barky,2.96E-08,
barms,6.15E-09,
barmy,2.30E-08,
barns,1.40E-06,
barny,2.29E-09,
baron,1.02E-06,1868
barps,1.58E-09,
barra,5.29E-08,
barre,1.80E-06,
barro,5.93E-09,
barry,3.87E-08,
barye,5.82E-10,
basal,9.74E-06,2269
basan,8.76E-09,
based,6.37E-05,
basen,2.24E-08,
baser,9.90E-07,
bases,7.01E-06,
basho,1.54E-09,
basic,0.000112717,100
basij,4.16E-10,
basil,1.12E-06,1836
basin,1.57E-05,827
basis,0.00017811,1660
basks,3.47E-08,
bason,8.41E-07,
basse,6.54E-08,
bassi,2.95E-08,
basso,2.77E-07,
bassy,3.32E-08,
basta,5.54E-08,
baste,1.63E-07,2062
basti,1.27E-08,
basto,6.53E-09,
basts,6.21E-08,
batch,7.24E-06,2162
bated,4.10E-07,
bates,3.13E-07,
bathe,1.20E-06,951
baths,3.12E-06,
batik,4.40E-08,
baton,6.75E-07,183
batta,8.14E-08,
batts,6.24E-08,
battu,6.03E-09,
batty,5.73E-08,29
bauds,7.25E-08,
bauks,2.12E-08,
baulk,1.73E-07,
baurs,8.92E-11,
bavin,3.49E-08,
bawds,1.44E-07,
bawdy,3.69E-07,1427
bawks,1.84E-09,
bawls,4.60E-08,
bawns,1.96E-09,
bawrs,7.83E-12,
bawty,3.79E-10,
bayed,3.72E-08,
bayer,1.24E-08,
bayes,1.65E-07,
bayle,2.45E-07,
bayou,2.66E-07,352
bayts,2.18E-08,
bazar,1.38E-07,
bazoo,7.96E-10,
beach,1.66E-05,1079
beads,3.43E-06,
beady,2.15E-07,380
beaks,5.82E-07,
beaky,5.21E-09,
beals,2.04E-08,
beams,8.12E-06,
beamy,1.61E-07,
beano,6.39E-08,
beans,4.64E-06,
beany,4.51E-07,
beard,4.63E-06,1251
beare,1.90E-05,
bears,2.10E-05,
beast,5.78E-06,1516
beath,3.18E-07,
beats,3.40E-06,
beaty,5.21E-09,
beaus,8.69E-08,
beaut,8.46E-07,
beaux,3.47E-07,
bebop,1.80E-08,
becap,7.10E-09,
becke,3.64E-07,
becks,7.64E-08,
bedad,9.42E-09,
bedel,1.91E-08,
bedes,4.74E-08,
bedew,1.19E-07,
bedim,1.20E-08,
bedye,2.84E-09,
beech,1.19E-06,893
beedi,9.95E-09,
beefs,2.11E-08,
beefy,2.11E-07,1409
beeps,2.30E-08,
beers,2.97E-07,
beery,1.28E-08,
beets,1.08E-06,
befit,9.61E-08,1702
befog,3.86E-08,
begad,1.72E-08,
began,0.000132905,1747
begar,4.91E-08,
begat,3.23E-07,1192
begem,5.86E-09,
beget,3.85E-07,1214
begin,6.18E-05,1648
begot,2.16E-06,
begum,7.42E-08,
begun,2.64E-05,859
beige,1.40E-07,
beigy,7.98E-11,
being,0.000507126,340
beins,6.32E-08,
bekah,6.79E-09,
belah,4.75E-09,
belar,1.27E-09,
belay,4.97E-08,
belch,1.48E-07,118
belee,8.17E-08,
belga,3.71E-09,
belie,3.40E-07,1872
belle,4.88E-07,2011
bells,5.50E-06,
belly,6.71E-06,58
belon,1.52E-07,
below,0.000135612,1414
belts,1.96E-06,
bemad,1.46E-08,
bemas,3.48E-09,
bemix,1.79E-10,
bemud,8.78E-10,
bench,9.22E-06,17
bends,2.25E-06,
bendy,1.59E-08,
benes,1.17E-07,
benet,1.89E-07,
benga,5.81E-10,
benis,5.57E-09,
benne,1.67E-07,
benni,8.65E-10,
benny,8.08E-09,
bento,4.19E-08,
bents,1.72E-07,
benty,1.15E-08,
bepat,4.16E-10,
beray,4.29E-08,
beres,5.91E-07,
beret,2.54E-07,1988
bergs,9.08E-08,
berko,7.69E-11,
berks,9.58E-10,
berme,2.91E-08,
berms,3.07E-08,
berob,1.96E-10,
berry,1.23E-06,1955
berth,1.46E-06,400
beryl,2.11E-07,
besat,1.33E-09,
besaw,2.86E-10,
besee,9.89E-09,
beses,6.67E-09,
beset,1.66E-06,798
besit,1.34E-08,
besom,9.73E-08,
besot,9.34E-08,
besti,2.15E-08,
bests,6.28E-08,
betas,3.37E-08,
beted,7.91E-09,
betel,4.04E-07,856
betes,2.21E-08,
beths,9.51E-08,
betid,4.28E-08,
beton,4.98E-07,
betta,1.26E-08,
betty,1.67E-08,
bevel,5.58E-07,1313
bever,9.28E-08,
bevor,7.44E-09,
bevue,6.05E-10,
bevvy,4.85E-10,
bewet,6.01E-08,
bewig,3.62E-10,
bezel,1.38E-07,2111
bezes,7.39E-09,
bezil,2.58E-09,
bezzy,3.60E-11,
bhais,6.64E-10,
bhaji,1.08E-09,
bhang,2.17E-08,
bhats,5.38E-10,
bhels,7.19E-12,
bhoot,7.43E-10,
bhuna,1.51E-10,
bhuts,9.30E-10,
biach,1.26E-10,
biali,2.37E-10,
bialy,4.02E-10,
bibbs,1.64E-08,
bibes,1.12E-08,
bible,9.61E-07,1242
biccy,4.94E-11,
bicep,1.34E-07,1827
bices,7.71E-08,
biddy,4.14E-08,2089
bided,4.31E-08,
bider,1.01E-08,
bides,1.51E-07,
bidet,3.73E-08,
bidis,7.99E-09,
bidon,1.57E-09,
bield,3.46E-08,
biers,3.82E-08,
biffo,1.47E-10,
biffs,2.98E-09,
biffy,9.86E-10,
bifid,3.04E-07,
bigae,2.06E-09,
biggs,4.83E-09,
biggy,6.11E-10,
bigha,1.61E-08,
bight,2.74E-07,
bigly,1.40E-08,
bigos,4.47E-10,
bigot,1.62E-07,2261
bijou,2.06E-08,
biked,4.40E-09,
biker,3.81E-08,
bikes,1.35E-07,
bikie,1.04E-09,
bilbo,1.66E-08,
bilby,8.14E-10,
biled,1.02E-08,
biles,2.58E-07,
bilge,3.56E-07,923
bilgy,5.47E-10,
bilks,5.12E-09,
bills,2.35E-05,
billy,2.35E-07,1578
bimah,2.64E-09,
bimas,4.12E-09,
bimbo,8.88E-09,
binal,1.15E-09,
bindi,1.24E-08,
binds,2.97E-06,
biner,1.11E-09,
bines,1.17E-07,
binge,8.54E-07,1858
bingo,7.21E-07,1415
bings,4.07E-08,
bingy,4.52E-10,
binit,6.20E-10,
binks,3.66E-09,
bints,5.79E-08,
biogs,1.01E-09,
biome,2.19E-07,82
biont,3.53E-10,
biota,3.99E-07,
biped,8.48E-08,
bipod,2.98E-08,
birch,1.89E-06,713
birds,2.38E-05,
birks,1.55E-08,
birle,1.44E-09,
birls,1.16E-09,
biros,3.15E-09,
birrs,3.51E-09,
birse,1.47E-09,
birsy,1.19E-10,
birth,4.43E-05,1779
bises,1.15E-09,
bisks,8.44E-10,
bisom,1.43E-10,
bison,1.08E-06,2059
bitch,1.06E-06,
biter,1.28E-07,
bites,1.19E-06,
bitos,2.35E-10,
bitou,1.73E-10,
bitsy,2.76E-09,
bitte,2.34E-07,
bitts,6.31E-08,
bitty,9.97E-08,1366
bivia,4.61E-10,
bivvy,1.40E-09,
bizes,1.83E-10,
bizzo,5.89E-11,
bizzy,2.05E-09,
blabs,4.08E-08,
black,0.000125841,300
blade,1.13E-05,2072
blads,2.52E-09,
blady,6.85E-09,
blaer,2.10E-10,
blaes,1.24E-08,
blaff,3.89E-08,
blags,2.57E-09,
blahs,2.01E-09,
blain,3.38E-08,
blame,1.30E-05,2264
blams,1.87E-08,
bland,1.37E-06,403
blank,1.28E-05,1037
blare,1.59E-07,1613
blart,1.04E-08,
blase,1.37E-07,
blash,1.67E-09,
blast,6.44E-06,598
blate,4.82E-08,
blats,8.52E-10,
blatt,1.22E-08,
blaud,2.31E-08,
blawn,3.44E-08,
blaws,9.42E-09,
blays,6.46E-10,
blaze,1.59E-06,1350
bleak,2.34E-06,1319
blear,1.85E-07,
bleat,1.07E-07,1468
blebs,6.43E-08,
blech,5.99E-10,
bleed,1.91E-06,74
bleep,8.75E-08,2196
blees,2.52E-08,
blend,6.40E-06,1608
blent,2.50E-07,
blert,1.72E-10,
bless,3.85E-06,835
blest,5.20E-06,
blets,4.29E-08,
bleys,2.04E-09,
blimp,1.07E-07,1338
blimy,2.11E-10,
blind,1.92E-05,1502
bling,5.64E-07,
blini,4.08E-09,
blink,1.58E-06,749
blins,4.87E-09,
bliny,5.08E-10,
blips,1.34E-08,
bliss,2.37E-06,895
blist,4.76E-08,
blite,8.78E-09,
blits,1.24E-09,
blitz,3.45E-07,1408
blive,1.51E-08,
bloat,1.74E-07,1223
